"DW_OUTFALL_INSPECT_ID","EMPLOYEE_ID","EMPLOYEE_NAME","EMPLOYEE2_ID","EMPLOYEE2_NAME","INSPECTION_TIME","INSPECTION_DATE","GPS_NORTH","GPS_WEST","WATERSHED_CODE","STREAM_ID","STREAM_NAME","SWQ_ID","LOCATOR_MAP_GRID","OUTFALL_NODE_NUMBER","OUTFALL_ACCESS","OUTFALL_FLOW","OIL_SHEEN","SEWAGE_ODOR","SOLVENT_ODOR","PETROLEUM_ODOR","OTHER_ODOR","SAMPLE_COLLECTED","PH","DISSOLVED_OXYGEN","WATER_TEMPERATURE","SPEC_CONDUCTIVITY","TOTAL_DISSOLVED_SOLID","ORP","TURBIDITY","TOTAL_SUSPENDED_SOLID","CHLORINE","HARDNESS","FECAL_COUNT","PHOSPHOROUS","NITRATE","NITRITE","IRON","AMMONIA","CHEM_OXYGEN_DEMAND","PHENOLS","COPPER","DETERGENT","SULFATE","SENT_LAB_SAMPLE","COMMENTS","CREATE_DATE","RE-INSPECTION","NODE_NOT_OUTFALL","OUTFALL_IS_FLUME","NODE_AN_OUTFALL","NITRATE_NITRITE","E_COLI","ROWID"
"8","","Carlton Eurey","","Cesar Cavazos","1899-12-30 12:32:00","2004-09-14 00:00:00","32.88508","96.69785","","","","464968","261","123","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{55DCD591-361A-4A16-9E8E-A1A19FA080FB}"
"9","","Carlton Eurey","","Cesar Cavazos","1899-12-30 12:03:00","2004-09-14 00:00:00","32.89410","96.70157","","","","507879","261","135","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{7E880ABE-26E1-4711-8F8F-3A8A24322445}"
"10","","Carlton Eurey","","Cesar Cavazos","1899-12-30 11:56:00","2004-09-14 00:00:00","32.89435","96.70164","","","","461863","261","15","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{1A9F3589-EFD4-41D0-ADDB-93AF9B7CD807}"
"11","","Carlton Eurey","","Cesar Cavazos","1899-12-30 11:44:00","2004-09-14 00:00:00","32.89438","96.70177","","","","464726","261","20","Accessible","Light","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","9/14/04 Outfall  261/615","","","","","","","","{97C1C230-D192-4876-AD86-310367DF8261}"
"12","","Carlton Eurey","","Cesar Cavazos","1899-12-30 11:27:00","2004-09-14 00:00:00","32.89037","96.69938","","","","464945","261","130","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{F14E4C6B-4E27-458C-9B72-0B0039FB8736}"
"13","","Carlton Eurey","","Cesar Cavazos","1899-12-30 11:11:00","2004-09-14 00:00:00","32.89030","96.70023","","","","464938","261","102","Accessible","Standing Water","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{91E634A3-C73A-48AF-881F-1FE69BD90AA0}"
"14","","Carlton Eurey","","Cesar Cavazos","1899-12-30 11:09:00","2004-09-14 00:00:00","32.89032","96.70099","","","","464937","261","101","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{2C48DDEB-7A22-4860-82B2-38FB4938836B}"
"15","","Carlton Eurey","","Cesar Cavazos","1899-12-30 10:50:00","2004-09-14 00:00:00","32.89353","96.70051","","","","","261","9001","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{BA2A57DD-B941-471A-9A77-9CCC90F28474}"
"16","","Carlton Eurey","","Cesar Cavazos","1899-12-30 10:34:00","2004-09-14 00:00:00","32.89293","96.70149","","","","","261","9000","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{4E8016B4-95B8-4C46-A642-0945F055E2A0}"
"17","","Cesar Cavazos","","Cesar Cavazos","1899-12-30 10:29:00","2004-09-14 00:00:00","32.89293","96.70159","","","","507947","261","196","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{C03C44EF-A358-4B68-80DB-01440F7858CB}"
"18","","Carlton Eurey","","Cesar Cavazos","1899-12-30 10:22:00","2004-09-14 00:00:00","32.89291","96.70157","WRDM","","Artesian Creek","507949","261","205","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{7C3A63E4-DBFD-4FA7-BC91-E280E789B224}"
"19","","Carlton Eurey","","Bonnie Brewster","1899-12-30 12:16:00","2004-09-20 00:00:00","32.88782","96.69388","WRDM","","Dixon Branch","","261","9004","Buried in Debris","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{AE75CBC5-FFF7-4B32-9D3F-B5E4A660E7F8}"
"20","","Carlton Eurey","","Bonnie Brewster","1899-12-30 12:11:00","2004-09-20 00:00:00","32.88793","96.69392","WRDM","","Dixon Branch","","261","9002","Buried in Debris","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{C57134F8-315F-4FB9-AE2A-88B78462D963}"
"21","","Carlton Eurey","","Cesar Cavazos","1899-12-30 11:35:00","2004-09-16 00:00:00","32.89361","96.70023","WRDM","","Dixon Branch","463253","261","70","Accessible","Light","No","No","No","No","No","Yes","8.00","6.30","","","","","6","4",".01","120","","",".00",".500",".00","","","0",".30",".000","","No","","","","","","","","","{5A4F9B16-A8A7-4478-BAC5-7BF8E6E8A23B}"
"22","","Carlton Eurey","","Cesar Cavazos","1899-12-30 11:32:00","2004-09-16 00:00:00","32.89348","96.70022","WRDM","","Duck Creek","463259","261","64","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{1EF01D97-CCCD-4553-B29D-75B0B93802B6}"
"23","","Carlton Eurey","","Cesar Cavazos","1899-12-30 11:12:00","2004-09-16 00:00:00","32.89427","96.69836","WRDM","","Duck Creek","463043","261","51","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{19659B65-E523-4E55-8988-A350EC31D228}"
"25","","Carlton Eurey","","Bonnie Brewster","1899-12-30 12:44:00","2004-09-20 00:00:00","32.88408","96.69840","WRDM","","Dixon Branch","512232","261","254","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","EPA# 261 625","","","","","","","","{3494BB2F-2EB8-44FC-AF4A-E4F0CF26C91F}"
"26","","Carlton Eurey","","Lawrence Cantos","1899-12-30 10:42:00","2004-09-16 00:00:00","32.89428","96.69823","WRDM","","Dixon Branch","463041","261","49","Accessible","Light","No","No","No","No","No","Yes","8.70","12.50","","","","","11","11",".11","250","","",".00",".150",".14","","","0",".01",".000","","No","","","","","","","","","{2E868492-0414-4946-81F8-03BBD5BE91FC}"
"27","","Carlton Eurey","","Bonnie Brewster","1899-12-30 12:33:00","2004-09-20 00:00:00","32.88403","96.69383","WRDM","","Dixon Branch","512232","261","254","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","EPA  261/626","","","","","","","","{19F2C8C7-D4C2-485E-96A8-931BE875FB9D}"
"28","","Carlton Eurey","","Cesar Cavazos","1899-12-30 12:40:00","2004-09-22 00:00:00","32.90428","96.70365","WRDM","","Dixon Branch","","207","175","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{086471EB-6923-4180-ACB7-4B7458E9475F}"
"29","","Carlton Eurey","","Cesar Cavazos","1899-12-30 12:38:00","2004-09-22 00:00:00","32.90436","96.70365","WRDM","","Dixon Branch","302849","207","94","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{DC5A883A-02F6-41E8-BF61-CEEF42D5F174}"
"30","","Carlton Eurey","","Cesar Cavazos","1899-12-30 12:30:00","2004-09-22 00:00:00","32.90721","96.70370","WRDM","","Dixon Branch","302770","207","16","Buried in Debris","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{18AFB88E-758F-48FC-8B02-017CC69B1F41}"
"31","","Carlton Eurey","","Cesar Cavazos","1899-12-30 12:15:00","2004-09-22 00:00:00","32.90733","96.70370","WRDM","","Dixon Branch","302768","207","14","Accessible","Standing Water","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{92A578DA-C411-47FF-929E-23BE658336CC}"
"32","","Carlton Eurey","","Carlton Eurey","1899-12-30 12:15:00","2004-09-22 00:00:00","32.90784","96.70370","WRDM","","Dixon Branch","302772","207","18","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{966CCB2F-D3BA-46D6-B35D-BF63190403D7}"
"33","","Carlton Eurey","","Cesar Cavazos","1899-12-30 11:53:00","2004-09-22 00:00:00","32.90876","96.70374","WRDM","","Dixon Branch","463401","226","70","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{D07E3891-F913-4BF4-A260-2001DB2CC6B5}"
"34","","Carlton Eurey","","Cesar Cavazos","1899-12-30 11:47:00","2004-09-22 00:00:00","32.90890","96.70367","WRDM","","Dixon Branch","461887","226","56","Accessible","Standing Water","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{9AB5670A-D0DE-4087-A7D2-045C104266F0}"
"35","","Carlton Eurey","","Cesar Cavazos","1899-12-30 11:48:00","2004-09-23 00:00:00","32.90078","96.70356","WRDM","","Dixon Branch","463510","226","132","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{88122AEF-6EE1-46B7-B7C3-7A848390BEDD}"
"36","","Carlton Eurey","","Cesar Cavazos","1899-12-30 11:45:00","2004-09-23 00:00:00","32.90087","96.70331","WRDM","","Dixon Branch","463761","226","258","Accessible","Standing Water","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{046307B9-7DDB-416D-96BA-210961E3D24F}"
"37","","Carlton Eurey","","Cesar Cavazos","1899-12-30 11:43:00","2004-09-23 00:00:00","32.90084","96.70332","WRDM","","Dixon Branch","463760","226","259","Accessible","Standing Water","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{416EBBCE-3028-4927-B534-BA876A7A0120}"
"38","","Carlton Eurey","","Cesar Cavazos","1899-12-30 11:29:00","2004-09-23 00:00:00","32.90219","96.70364","WRDM","","Dixon Branch","","226","9021","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{9923BA9F-0C68-4765-92AE-DB482BE177BF}"
"39","","Carlton Eurey","","Cesar Cavazos","1899-12-30 11:25:00","2004-09-23 00:00:00","32.90179","96.70360","WRDM","","Dixon Branch","","226","9020","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{84D6BA6B-D182-4C18-81A9-F7225A0A647E}"
"40","","Carlton Eurey","","Cesar Cavazos","1899-12-30 11:22:00","2004-09-23 00:00:00","32.90174","96.70429","WRDM","","Dixon Branch","463532","226","152","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{C98593EF-6605-4A3D-9241-607FC0907A84}"
"41","","Carlton Eurey","","Cesar Cavazos","1899-12-30 11:10:00","2004-09-23 00:00:00","32.90278","96.70371","WRDM","","Dixon Branch","462689","226","115","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{9261E99E-8793-4E8E-AC38-D6FE95F1E125}"
"42","","Carlton Eurey","","Cesar Cavazos","1899-12-30 11:07:00","2004-09-23 00:00:00","32.90277","96.70373","WRDM","","Dixon Branch","462688","226","114","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{3D64E865-4034-4049-973D-E2E7D1695C48}"
"43","","Carlton Eurey","","Cesar Cavazos","","2004-09-23 00:00:00","32.90281","96.70361","WRDM","","Dixon Branch","462681","226","111","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{F7441EFF-2655-46F3-8C27-F63CE3457A33}"
"44","","Carlton Eurey","","Cesar Cavazos","1899-12-30 11:01:00","2004-09-23 00:00:00","32.90303","96.70380","WRDM","","Dixon Branch","462687","226","113","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{C4518AA1-3320-4E48-A61B-9094271DEC02}"
"45","","Carlton Eurey","","Cesar Cavazos","1899-12-30 12:43:00","2004-09-27 00:00:00","32.89474","96.70168","WRDM","","Dixon Branch","465806","226","31","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{6ACF12D9-6694-4D7C-9DCE-471B14F184A8}"
"46","","Carlton Eurey","","Cesar Cavazos","1899-12-30 12:30:00","2004-09-27 00:00:00","32.89690","96.70271","WRDM","","Dixon Branch","461850","226","19","Buried in Debris","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{0525802F-275E-45E6-98B1-E67264AF0F1C}"
"47","","Carlton Eurey","","Cesar Cavazos","1899-12-30 12:15:00","2004-09-27 00:00:00","32.89753","96.70335","WRDM","","Dixon Branch","461848","226","16","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{CC996D6A-4F75-4267-9C0D-81DF45E7E0EC}"
"48","","Carlton Eurey","","Cesar Cavazos","1899-12-30 12:09:00","2004-09-27 00:00:00","32.89817","96.70348","WRDM","","Duck Creek","461845","226","13","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{A28EAF90-EC70-46DE-BC7A-B68ED30B036C}"
"49","","Carlton Eurey","","Cesar Cavazos","1899-12-30 12:21:00","2004-09-28 00:00:00","32.92799","96.71671","WRDM","","Dixon Branch","296248","152","157","Accessible","Standing Water","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{EEF2A944-54F9-4DC2-8781-CCEB8F6C827B}"
"50","","Carlton Eurey","","Cesar Cavazos","1899-12-30 12:19:00","2004-09-28 00:00:00","32.92847","96.71671","WRDM","","Dixon Branch","296243","152","152","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{A5E15581-817C-4B6A-909B-0E059F9A653E}"
"51","","Carlton Eurey","","Cesar Cavazos","1899-12-30 12:18:00","2004-09-28 00:00:00","32.92852","96.71668","WRDM","","Dixon Branch","296241","152","150","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{60EA7D0E-211E-46EE-9EAC-FC4E1407A5B8}"
"52","","Carlton Eurey","","Cesar Cavazos","1899-12-30 12:16:00","2004-09-28 00:00:00","32.92897","96.71690","WRDM","","Dixon Branch","296239","152","148","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{8C1F311D-B486-4316-9C3C-8578A8244571}"
"53","","Carlton Eurey","","Cesar Cavazos","1899-12-30 12:11:00","2004-09-28 00:00:00","32.92882","96.71680","WRDM","","Dixon Branch","296227","152","136","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{47EA1D5C-3AE4-4568-9B52-009FF8C85082}"
"54","","Carlton Eurey","","Cesar Cavazos","1899-12-30 12:08:00","2004-09-28 00:00:00","32.92951","96.71720","WRDM","","Dixon Branch","296225","152","134","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{7894091D-1F5A-4229-A0D4-60FE7C42D2CA}"
"55","","Carlton Eurey","","Cesar Cavazos","1899-12-30 12:05:00","2004-09-28 00:00:00","32.93040","96.71673","WRDM","","Dixon Branch","296224","152","133","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{57F38B4B-65AC-4D2A-A14B-8EBAD66918B5}"
"56","","Carlton Eurey","","Cesar Cavazos","1899-12-30 11:31:00","2004-09-28 00:00:00","32.93061","96.71662","WRDM","","Dixon Branch","296222","152","131","Accessible","Light","No","No","No","No","No","Yes","6.96","7.75","24.98",".782","","","1","4",".14","250","","",".00",".050",".08","","","0",".00",".000","","No","","","","","","","","","{15B3FAEC-DBF4-453B-B5E8-EAB89DC89C95}"
