"HABITAT_ASSESMENT_ID","HABITAT_SITE_ID","HABITAT_SITE_COMMON_NAME","HABITAT_ASSESMENT_DATE","HABITAT_ASSESMENT_TIME","ASSESMENT_EMPLOYEE_ID","ASSESMENT_EMPLOYEE_NAME","RBA","STREAM_DEPTH","STREAM_WIDTH","STREAM_FLOW","VELOCITY_DEPTH","EPIFAUNAL","EMBEDDEDNESS","SEDIMENT_DEPOSITION","CHANNEL_FLOW","CHANNEL_ALTERED","CHANNEL_SINUOSITY","FREQUENCY_RIFFLES","POOL_VARIABILITY","POOL_SUBSTRATE","BANK_VEG_LT","BANK_VEG_RT","BANK_STABILITY_LT","BANK_STABILITY_RT","RIPARIAN_VEG_LT","RIPARIAN_VEG_RT","ASSESMENT_COMMENTS","CREATE_DATE","MODIFY_EMPLOYEE_ID","MODIFY_DATE","ROWID"
"1","","ela b","2000-03-22 00:00:00","1899-12-30 09:12:00","","Eloisa Medina","YES","2.00","16.50",".00","9","10","12","10","10","5","12","12","8","8","6","6","5","7","12","5","","","","","{6B24EB3E-B748-42E5-B13A-472CC96C9FFD}"
"2","","tur a","2000-03-22 00:00:00","1899-12-30 08:30:00","","Eloisa Medina","YES","3.00","11.00",".00","10","6","10","10","9","5","14","3","9","8","5","5","2","2","4","4","","","","","{1B9AA01D-3B6D-4E6D-B4D6-2156F584177B}"
"3","","pra c","2000-03-22 00:00:00","1899-12-30 10:21:00","","Eloisa Medina","YES","2.50","20.50",".00","8","13","8","5","6","9","13","3","8","4","8","8","10","10","13","13","","","","","{6D71B4F1-52F0-416F-AFE3-EBA92FE3ED10}"
"4","","pra b","2000-03-22 00:00:00","1899-12-30 11:11:00","","Eloisa Medina","YES","1.00","10.10",".00","17","14","14","11","13","11","13","12","13","13","9","9","10","10","6","6","","","","","{0675C45B-8A8A-4DBD-9CC2-7F29E4C0A695}"
"5","","pra a","2000-03-22 00:00:00","1899-12-30 11:46:00","","Eloisa Medina","YES","1.75","18.50","","11","11","9","8","11","12","13","11","12","8","11","11","6","6","8","5","","","","","{720C1488-A1C9-48A8-8183-DF145CFDF76C}"
"6","","ten c","2001-06-08 00:00:00","1899-12-30 11:16:00","","Eloisa Medina","YES","3.50","31.00","","8","12","8","10","12","9","15","9","10","11","10","10","10","10","10","10","","","","","{F5E9450E-B9A4-42AA-9FC9-20E4A39B9148}"
"7","","cec a","2001-06-13 00:00:00","1899-12-30 11:11:00","","Eloisa Medina","YES",".80","19.00","","12","8","8","15","8","12","12","15","8","8","15","15","7","7","5","5","","","","","{8AF31B1C-8C25-45BA-9A65-AC4B516BA414}"
"8","","cec b","2001-06-13 00:00:00","1899-12-30 10:19:00","","Eloisa Medina","YES","2.50","31.00","","12","12","11","12","10","5","10","12","8","8","13","13","8","8","5","5","","","","","{9B68D376-818F-4A0F-A184-337D4D8D0C2B}"
"9","","cec c","2001-06-13 00:00:00","1899-12-30 09:18:00","","Eloisa Medina","YES","1.00","3.00","","5","5","6","13","14","10","10","5","5","5","15","15","6","6","12","12","","","","","{AB4217AE-3CA4-45CE-B5EE-FDBA421164C7}"
"10","","ten a","2001-06-08 00:00:00","1899-12-30 12:15:00","","Eloisa Medina","YES",".50","33.00","","12","5","12","15","15","15","15","10","15","5","10","10","10","10","8","8","","","","","{60642B10-290E-47CD-B96E-8661DED9D253}"
"11","","ten b","2001-06-08 00:00:00","1899-12-30 09:57:00","","Eloisa Medina","YES",".50","39.00","","15","12","16","10","13","17","15","17","15","11","17","17","11","11","17","17","Hard-250","","","","{9DA9E1CB-02B2-46F5-959A-FFDDB57C1ECD}"
"12","","ten d","2001-06-08 00:00:00","1899-12-30 08:22:00","","Eloisa Medina","YES","1.00","35.50","","15","16","5","8","15","9","13","19","15","12","12","12","10","10","10","10","","","","","{00746031-FAEE-47C4-BBE1-D3F7F492B0ED}"
"13","","tro a","2001-06-26 00:00:00","1899-12-30 11:05:00","","Eloisa Medina","YES","1.00","10.00","","8","10","5","5","5","12","10","5","8","5","10","10","5","5","15","15","","","","","{E09DD737-820B-460E-8228-C9DEF3054685}"
"14","","tur a","2002-06-21 00:00:00","1899-12-30 10:39:00","","Eloisa Medina","YES","1.00","10.00","","2","2","2","2","2","2","2","0","3","2","8","8","5","5","7","6","Site heavily impacted by the arena construction.  no life found","","","","{9958DFEE-13AB-4EC8-A740-5D1EE9DE2AA2}"
"15","","tur b","2001-06-26 00:00:00","1899-12-30 09:42:00","","Eloisa Medina","YES",".75","26.00","","13","8","13","13","10","5","8","10","10","5","8","7","10","5","5","5","","","","","{BE5A5242-1D84-49B2-AA2E-666AF5607164}"
"16","","tur c","2001-06-26 00:00:00","1899-12-30 08:31:00","","Eloisa Medina","YES",".50","20.00","","10","10","13","12","11","5","12","10","9","7","10","10","5","5","5","5","","","","","{0F86AA0B-E30D-431B-AE7D-96EA9F983E33}"
"17","","spc a","2001-06-23 00:00:00","1899-12-30 11:44:00","","Eloisa Medina","YES","1.00","13.20","","12","12","13","13","10","5","12","12","12","10","12","12","9","9","12","12","","","","","{B4BCBC97-3E97-4E2A-B6A0-BEEFFADA6D38}"
"18","","par a","2001-06-23 00:00:00","1899-12-30 10:35:00","","Eloisa Medina","NO ","","","","","","","","","","","","","","","","","","","","","","","","{90422952-FD52-419E-B86E-782BB2E4ABB0}"
