"WQM_WQ_ASSESMENT_ID","WQ_SITE_ID","WQ_SITE_COMMON_NAME","WQ_ASSESMENT_DATE","WQ_ASSESMENT_TIME","WQ_ASSESMENT_EMPLOYEE_ID","WQ_ASSESMENT_EMPLOYEE_NAME","PH","DISSOLVED_OXYGEN","WATER_TEMPERATURE","SPEC_CONDUCTIVITY","TOT_DISSOLVED_SOLID","ORP","TURBIDITY","TOT_SUSPENDED_SOLID","CHLORINE","HARDNESS","FECAL","PHOSPHOROUS","NITRATE","NITRITE","IRON","AMMONIA","CHEM_OXYGEN_DEMAND","PHENOLS","COPPER","DETERGENT","SULFATE","SECCHI_DEPTH","SEWAGE_ODOR","SOLVENT_ODOR","PETROLEUM_ODOR","FISH_ODOR","ASSESMENT_COMMENTS","CREATE_DATE","MODIFY_EMPLOYEE_ID","MODIFY_DATE","PASSED_INVERTIBRATE_TOX","PASSED_FATHEAD_TOX","NITRATE_NITRITE","E_COLI","ROWID"
"1","","hon a","2003-04-17 00:00:00","1899-12-30 09:02:00","","Tamara Elliot","7.62","5.42","117.46",".630",".40","327","8","11",".06","120","212",".360",".490",".021",".21",".000",".00","0",".000","","","","NO ","NO ","NO ","NO ","Silt present constuction site, old site gone seriously impacted trash present, silt bottom","","","","","","","","{EC79AA0F-1746-4196-8A40-DD3951DE4342}"
"2","","coo b","2003-04-18 00:00:00","1899-12-30 11:05:00","","Tamara Elliot","7.56","8.20","18.19",".627",".40","316","4","0",".02","250","550",".150","1.930",".030",".03",".000",".00","0",".000","","","","NO ","NO ","NO ","NO ","Dead animal remains, high alge trash evident,rock creek bottom, fish present","","","","","","","","{DCDD73D2-1B2C-4EFB-A05E-DB55F7191A00}"
"3","","coo c","2003-04-18 00:00:00","1899-12-30 09:44:00","","Tamara Elliot","7.47","7.52","18.01",".778",".50","326","2","7","1.64","425","610",".120","5.330",".028",".65",".000",".00","0",".000","","","","NO ","NO ","NO ","NO ","Algae present brush causing dam trash evident rock bassin","","","","","","","","{AA5E03E2-03D2-4D62-88A0-22A7B248FF38}"
"4","","coo a","2003-04-18 00:00:00","1899-12-30 08:07:00","","Tamara Elliot","7.58","5.87","19.24",".684",".40","347","6","5",".00","250","300",".120","1.050",".018",".75",".000",".00","0",".000","","","","NO ","NO ","NO ","NO ","Fish present algae buildup cement basin","","","","","","","","{5AACB2A2-9F98-4547-AE67-91A258D2AF42}"
"5","","rib a","2003-04-23 00:00:00","1899-12-30 11:50:00","","Tamara Elliot","7.30","1.98","18.66","1.045",".70","294","11","11",".06","250","16",".700",".000",".000",".77",".000","20.00","0",".000","","","","NO ","NO ","NO ","NO ","Decay, lots of aquatic vegitation ","","","","","","","","{6374D8E8-F03F-4DCD-BCB8-C283DB821849}"
"6","","efc a","2003-04-23 00:00:00","1899-12-30 10:16:00","","Tamara Elliot","7.62","4.47","17.65",".920",".60","313","10","14",".05","250","1160",".420","1.100",".043",".66",".000",".00","0",".000","","","","NO ","NO ","NO ","NO ","Water width increase, silt level high,","","","","","","","","{780DA97B-5781-405B-AC7B-A293C477E9F7}"
"7","","efc b","2003-04-23 00:00:00","1899-12-30 08:46:00","","Tamara Elliot","7.92","7.98","17.73",".738",".50","356","6","11",".05","250","206",".300",".610",".125",".82",".000",".00","0",".000","","","","NO ","NO ","NO ","NO ","Trash evident, bank errosion","","","","","","","","{B29782C3-4D75-4939-AB38-2D399737CA77}"
"8","","hon b","2003-04-17 00:00:00","1899-12-30 10:15:00","","Tamara Elliot","7.53","6.96","17.74",".614",".40","305","13","16",".27","120","1620",".180","1.320",".031",".15",".000",".00","0",".000","","","","NO ","NO ","NO ","NO ","Algae present exsess brush trash, floatables, silt bottom","","","","","","","","{1A8D729B-4722-4E81-89A0-E872846E887A}"
"9","","ela a","2002-01-29 00:00:00","1899-12-30 09:40:00","","Cesar Cavazos","7.68","6.50","14.40",".549",".40","347","4","3",".03","250","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{17837293-512C-43EC-B3BB-B3099DF73975}"
"10","","hic a","2002-01-29 00:00:00","1899-12-30 09:15:00","","Cesar Cavazos","7.68","8.25","13.24",".543",".40","353","11","9",".01","250","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{02A3891C-30EE-4A2F-B44D-7DD53B04FD7B}"
"11","","pra c","2002-01-28 00:00:00","1899-12-30 11:30:00","","Cesar Cavazos","7.65","9.08","9.50",".408",".30","314","15","13",".00","120","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{A9377E66-E43F-4FFF-911C-B9C10EB0D4C8}"
"12","","pra b","2002-01-28 00:00:00","1899-12-30 11:05:00","","Cesar Cavazos","7.62","8.84","9.41",".396",".30","312","18","25",".03","300","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{9B63EFB2-CDB6-4461-B8E3-2E854952255D}"
