"WET_WEATHER_SAMPLING_ID","EMPLOYEE_ID","EMPLOYEE_NAME","SITE_ID","SITE_COMMON_NAME","SAMPLE_DATE","SAMPLE_TIME","TEMPERATURE","CONDUCTIVITY","DO","PH","TOT_DISSOLVED_SOLID","TURBIDITY","TOT_SUSPENDED_SOLID","CHLORINE","HARDNESS","CHEM_OXYGEN_DEMAND","NITRITE","NITRATE","FECAL_COLIFORM","PHOSPHOROUS","LEAD","IRON","COPPER","ALUMINUM","CHROMIUM_HEXAVALENT","MOLYBDENUM","SULPHATE","FLUORIDE","DETERGENT","NICKEL","FREE_CHLORINE","CADMIUM","TOTAL_CHROMIUM","MANGANESE","OIL_OR_GREASE","SILVER","ZINC","TPH","BOD","FLOATABLES","OIL_SHEEN","LEAVES","GRASS_CLIPPINGS","SEWAGE_PRESENT","SEWAGE_ODOR","SOLVENT_ODOR","PETROLEUM_ODOR","FISH_ODOR","OTHER_ODOR","COMMENTS","AMMONIA","E_COLI","NITRATE_NITRITE","ROWID"
"19","","","","CEDR1","2000-10-29 00:00:00","45 Time","19.40",".210","7.08","7.08","","218.00","247",".00","","","","","","","","","","","","","","","","","","","","","","","","","","Few","","","","","No","No","No","No","No","","","","","{B48D1422-28BE-48B6-A5D6-89A1A9DB6F23}"
"20","","","","CEDR1","2000-10-15 00:00:00","45 Time","22.10",".010","7.33","7.33","","398.00","458",".00","","","","","","","","","","","","","","","","","","","","","","","","","","Moderate","","","","","No","No","No","No","No","","","","","{6D80EDD6-9BF5-4080-BE9E-54B51A6E4B52}"
"21","","","","CEDR1","2000-10-29 00:00:00","60 Time","19.50","","8.86","7.20","","248.00","284","","120","","","","","","","","","","","","","","","","","","","","","","","","","Few","None","None","None","None","No","No","No","No","No","","","","","{843D85D2-C0D4-44BB-ABE9-E249D57B5E74}"
"22","","","","CEDR1","2000-10-15 00:00:00","60 Time","22.10","","7.57","7.35","","530.00","598",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","Severe","None","None","None","None","No","No","No","No","No","","","","","{01245647-0676-4F09-963A-9190D960F5E7}"
"23","","","","CEDR1","2000-10-15 00:00:00","Background","22.50",".550","6.26","7.26","","6.24","13",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{0806474A-EE7D-4676-B908-964457598690}"
"24","","","","CEDR1","2000-10-29 00:00:00","Background","21.50",".530","6.24","7.16","","11.00","7",".00","50","2.00",".01",".30","",".110","3.00",".340",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{BF05C324-3249-47FB-A271-7984A342D1B2}"
"25","","","","CEDR1","2000-10-29 00:00:00","Composite","","","","","","","","","250","23.00",".00",".30","",".440","3.00","1.070",".000","","","","","","","","","","","","","","","","","None","None","Few","None","None","No","No","No","No","No","","","","","{A13B9F40-881E-4D4C-9455-DBE460AB9653}"
"26","","","","CEDR1","2000-10-15 00:00:00","Fifeteen Time","24.20","35.000","7.70","7.26","","209.00","265","","120","","","","","","","","","","","","","","","","","","","","","","","","","Moderate","None","None","None","None","No","No","No","No","No","","","","","{36CB0A76-1532-4F03-AA5C-5D214E4948C6}"
"27","","","","CEDR1","2000-10-29 00:00:00","Fifeteen Time","19.50",".100","6.78","7.19","","206.00","224","","","","","","","","","","","","","","","","","","","","","","","","","","","Few","None","None","None","None","No","No","No","No","No","","","","","{0163BDA1-644B-4E4B-A132-2DB6DAC2DFC5}"
"28","","","","CEDR1","2000-10-15 00:00:00","First Flush","24.00","19.000","7.38","7.33","","226.00","197","","120","109.00","","","","2.360","",".060","","","","","","","","","","","","","","","","","","Few","None","None","None","None","No","No","No","No","No","","","","","{F6F4095E-57D2-44BD-B66B-E6F91BC0B11E}"
