"SAMPLING_RESULTS_ID","SAMPLING_EVENTS_ID","CUSTODY_NUMBER","PARAMETER","METHOD","NUMBER_RESULT","REPORTED_RESULT","ALPHA_RESULT","FLAG","UNITS","MDL","RDL","ANALYSIS_DATE","ANALYZED_BY","RECORD_CREATED","PARAMETERS_ID","CONTRACT_LAB_ID","SAMPLE_ID","COLLECT_DATE","REASON","ROWID"
"1","","","100","Metals per ICP/MS by EPA 200.8","0","0","    ","U","mg/L","0.002","0.003","2010-08-27 00:00:00","huajun.chen","2011-01-06 00:00:00","","Xenco","bab a","2010-08-24 00:00:00","No Matching Sample ID","{679E0036-E983-4273-9FD6-FD0AC1A273CD}"
"2","","","1","Metals per ICP by EPA 200.7","0",".056","    ","","mg/L","0.01","0.03","2010-04-20 00:00:00","huajun.chen","2011-01-06 00:00:00","","Xenco","DALW 33","2010-04-13 00:00:00","No Matching Sample ID","{5FD8390C-FEF5-4021-BDF4-BE4E5FF4B927}"
"36","","","MBAS Surfactants","MBAS Surfactants by SM5540C","0","0","    ","U","mg/L","0.043","0.1","2010-04-06 00:00:00","pablo.davila","2010-05-11 00:00:00","","ARM","PAR a","2010-04-05 00:00:00","","{3B6EF34A-F385-4D89-BFD6-A5F0BF7E4C62}"
"37","","","MBAS Surfactants","MBAS Surfactants by SM5540C","0","0","    ","U","mg/L","0.043","0.1","2010-04-06 00:00:00","pablo.davila","2010-05-11 00:00:00","","ARM","HIC d","2010-04-05 00:00:00","","{64DDD6B6-1068-44D9-8462-29342A266BC4}"
"39","","","Nitrate-Nitrite","Nitrogen, Nitrate-Nitrite by E353.3","0",".101","    ","","mg/L","0.028","0.1","2010-04-07 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOH","PAR a","2010-04-05 00:00:00","","{EFD9769D-B72C-4BEE-BD24-DF36CB9E8967}"
"41","","","MBAS Surfactants","MBAS Surfactants by SM5540C","1","1.05","    ","","mg/L","0.043","0.1","2010-04-06 00:00:00","pablo.davila","2010-05-11 00:00:00","","ARM","S7W 1 S","2010-04-05 00:00:00","","{54ECB148-030A-4878-9854-9C9F143BB356}"
"42","","","Nitrate-Nitrite","Nitrogen, Nitrate-Nitrite by E353.3","1",".983","    ","","mg/L","0.028","0.1","2010-04-07 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOH","Site 1 S","2010-04-01 00:00:00","","{283DE431-B187-461D-836E-B1FDE8B1F807}"
"44","","","Nitrate-Nitrite","Nitrogen, Nitrate-Nitrite by E353.3","0","0","    ","","mg/L","0.028","0.1","2010-04-07 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOH","001 S","2010-04-04 00:00:00","","{C3DAD4BA-04D1-410F-A298-960CEEFF40B6}"
"45","","","Nitrogen, Ammonia (as N)","Nitrogen, Ammonia by EPA 350.3","1",".657","    ","","mg/L","0.079","0.1","2010-04-08 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOR","HIC d","2010-04-05 00:00:00","","{711A82A7-5326-4F96-A162-13FE66BCAA78}"
"46","","","Nitrogen, Ammonia (as N)","Nitrogen, Ammonia by EPA 350.3","0",".257","    ","","mg/L","0.079","0.1","2010-04-08 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOR","ela a","2010-04-05 00:00:00","","{BD8E0ACD-8D05-487C-A368-8540A4DD0636}"
"47","","","Nitrogen, Ammonia (as N)","Nitrogen, Ammonia by EPA 350.3","10","9.91","    ","","mg/L","0.079","0.1","2010-04-08 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOR","PAR a SD","2010-04-05 00:00:00","","{D3A72FC7-B78E-41AE-B5DC-6C18F1E43505}"
"48","","","Nitrate-Nitrite","Nitrogen, Nitrate-Nitrite by E353.3","0","0","    ","U","mg/L","0.028","0.1","2010-04-07 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOH","HIC d","2010-04-05 00:00:00","","{BBE882BE-65BB-4363-B70E-7B88AAC3A15C}"
"50","","","Nitrate-Nitrite","Nitrogen, Nitrate-Nitrite by E353.3","0",".481","    ","","mg/L","0.028","0.1","2010-04-07 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOH","ela a","2010-04-05 00:00:00","","{F1DA0BDC-9298-42B2-AE2A-7E3EE36F7FA4}"
"51","","","COD, Chemical Oxygen Demand","COD by EPA 410.4","0","0","    ","U","mg/L","6.7","20","2010-04-08 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOR","HIC d","2010-04-05 00:00:00","","{BAED2872-2DB2-4F7D-8115-B432B049EAE3}"
