"SAMPLING_EVENTS_ID","CUSTODY_NUMBER","SWM_SITE_ID","SWM_SITE_NUMBER","SITE_ADDITIONAL_DESCRIPTION","PROGRAM_CATEGORY","SAMPLE_TYPE","MATRIX_TYPE","SWM_WATERSHED","HUC_12_WATERSHED","HUC_12_WATERSHED_NAME","LOCATION_DESCRIPTION","COLLECT_DATE","COLLECT_TIME","SAMPLER_NAME","DATE_ANALYZED","LATITUDE","LONGITUDE","COMMENTS","APPROVED_BY","DATE_LAB_DATA_RECVD","RECORD_CREATED","APPROVED_DATE","NUMBER_OF_CONTAINERS","TURN_AROUND_TIME","SAMPLES_FOR_LAB","MODIFIED_BY","HUC_12_SUBNAME","EVENT_COMMENT","DUPLICATE","HABITAT_SCORE","HABITAT_FLAG","LABORATORY","STREAM_LOCATION","GBA_SN_ID","FLOW_SEVERITY","DAYS_SINCE_LAST_RAINFALL","INSTANTANEOUS_FLOW","OUTFALL_NUM","ROWID"
"101","20100405-HC-1","hic-d","","","Bioassessment","Grab","Water","PARS","120301050204","Hickory Creek-Parsons Slough","12201 CF Hawn Fwy","2010-04-05 00:00:00","2010-04-05 10:47:00","huajun.chen","2010-04-05 00:00:00","","","","","","2010-04-08 00:00:00","","3","Normal","True","paul.white","Hickory Creek-Parsons Slough","","","","","XENCO","","","","","","","{9365578C-1DF4-4803-B422-0BEBE37D76D6}"
"102","20100405-HC-2","ATEN-1","","","Bioassessment","Grab","Water","ATEN","120301050204","Hickory Creek-Parsons Slough","3000 Jordan Valley","2010-04-05 00:00:00","2010-04-05 11:39:00","huajun.chen","2010-04-05 00:00:00","","","","","","2010-04-08 00:00:00","","3","Normal","True","paul.white","Hickory Creek-Parsons Slough","","","","","XENCO","","","","","","","{AD861293-F1D4-4BCD-8F19-6CEB2AB03DD2}"
"103","20100405-HC-3","ela-a","","","Bioassessment","Grab","Water","MLCD","120301050108","Five Mile Creek-Trinity River","4200 mountain creek pkw","2010-04-05 00:00:00","2010-04-05 12:25:00","huajun.chen","2010-04-05 00:00:00","","","","","","2010-04-08 00:00:00","","3","Normal","True","paul.white","Five Mile Creek-Trinity River - ELAMC","","","","","XENCO","","","","","","","{24E5FBEE-7020-465A-BE40-F3BA53B91BA2}"
"121","20100412-CN-1","SDAL-1","","","Bioassessment","Grab","Water","SDAL","120301050108","Five Mile Creek-Trinity River","3700 Overton","2010-04-12 00:00:00","2010-04-12 09:28:00","cathleen.nelson","2010-04-12 00:00:00","","","","","","2010-04-12 00:00:00","","3","Normal","True","pablo.davila","Five Mile Creek-Trinity River - SODAL","","","","","XENCO","","","","","","","{28C8F169-89E5-4636-858F-782157D2EC59}"
"122","20100412-HC-1","cec-a","","","Bioassessment","Grab","Water","CEDR","120301050102","Turtle Creek-Trinity River","208 moore st","2010-04-12 00:00:00","2010-04-12 10:10:00","huajun.chen","2010-04-12 00:00:00","","","","","","2010-04-12 00:00:00","","3","Normal","True","pablo.davila","Turtle Creek-Trinity River - CDRCK","","","","","XENCO","","","","","","","{9AF2A4FE-9A21-4FD2-9993-D8F57D769886}"
"123","20100412-HC-2","cec-b","","","Bioassessment","Grab","Water","CEDR","120301050102","Turtle Creek-Trinity River","200 Clarendon (Cumberland intersection)","2010-04-12 00:00:00","2010-04-12 10:43:00","huajun.chen","2010-04-12 00:00:00","","","","","","2010-04-12 00:00:00","","3","Normal","True","pablo.davila","Turtle Creek-Trinity River - CDRCK","","","","","XENCO","","","","","","","{3973A8CB-9D92-453D-B3F7-9B6C1C925146}"
"124","20100412-HC-3","lac-b","","","Bioassessment","Grab","Water","DAWB","120301050105","Turtle Creek-Trinity River","222 E 5th st","2010-04-12 00:00:00","2010-04-12 11:24:00","huajun.chen","2010-04-12 00:00:00","","","","","","2010-04-12 00:00:00","","3","Normal","True","paul.white","Turtle Creek-Trinity River - DALWB","","","","","XENCO","","","","","","","{FBF152F1-1BEC-4A77-B212-01D8E107C4BF}"
"125","20100412-HC-4","lac-a","","","Bioassessment","Grab","Water","DAWB","120301050102","Turtle Creek-Trinity River","826 blaylock dr","2010-04-12 00:00:00","2010-04-12 11:48:00","huajun.chen","2010-04-12 00:00:00","","","","paul.white","","2010-04-12 00:00:00","2011-03-28 00:00:00","3","Normal","True","paul.white","Turtle Creek-Trinity River - DALWB","","","","","XENCO","","","","","","","{057FA109-5788-416E-8AC6-B2F0F1EB4C4A}"
"126","20100413-CN-1","PRAI-2","","","Bioassessment","Grab","Water","PRAI","120301050204","Upper Prairie Creek-Trinity River","9000 Military Pkwy","2010-04-13 00:00:00","2010-04-13 10:26:00","cathleen.nelson","2010-04-13 00:00:00","","","","","","2010-04-13 00:00:00","","3","Normal","True","pablo.davila","Upper Prairie Creek-Trinity River","","","","","XENCO","","","","","","","{E3A5AD0C-D41F-4404-82C5-8F5E7580AA68}"
"127","20100413-CN-2","ash-a","","","Bioassessment","Grab","Water","LWRC","120301050106","City of Dallas-White Rock Creek","1802 highland rd","2010-04-13 00:00:00","2010-04-13 11:12:00","cathleen.nelson","2010-04-13 00:00:00","","","","","","2010-04-13 00:00:00","","3","Normal","True","pablo.davila","City of Dallas-White Rock Creek","","","","","XENCO","","","","","","","{1713E748-53F6-4E20-A106-B50591031F87}"
"128","20100413-CN-3","whc-a","","","Bioassessment","Grab","Water","LWRC","120301050108","City of Dallas-White Rock Creek","5055 Scyene Road","2010-04-13 00:00:00","2010-04-13 11:48:00","cathleen.nelson","2010-04-13 00:00:00","","","","","","2010-04-13 00:00:00","","3","Normal","True","pablo.davila","City of Dallas-White Rock Creek","","","","","XENCO","","","","","","","{F3D99DE5-E76E-4384-BEA9-13DDEDB18007}"
"129","20100413-CN-4","DALW-3","","","Bioassessment","Grab","Water","DALW","120301050106","City of Dallas-White Rock Creek","3000 Hatcher","2010-04-13 00:00:00","2010-04-13 12:11:00","cathleen.nelson","2010-04-13 00:00:00","","","","","","2010-04-13 00:00:00","","3","Normal","True","pablo.davila","City of Dallas-White Rock Creek","","","","","XENCO","","","","","","","{F756DD5F-5346-4C2E-8430-79417AAA8911}"
"130","20100413-CN-4_dup","DALW-3","","","Bioassessment","Grab","Water","DALW","120301050107","City of Dallas-White Rock Creek","3000 Hatcher","2010-04-13 00:00:00","2010-04-13 12:12:00","cathleen.nelson","2010-04-13 00:00:00","","","","","","2010-04-13 00:00:00","","3","Normal","True","pablo.davila","City of Dallas-White Rock Creek","","True","","","XENCO","","","","","","","{0278BB78-ED34-4571-AC1E-271B21AB95C4}"
"141","20100407-PD-1","tur-c","","","Bioassessment","Grab","Water","DALW","120301050101","Headwaters Turtle Creek","3858 Turtle Creek  DR","2010-04-07 00:00:00","2010-04-07 00:16:00","pablo.davila","2010-04-07 00:00:00","","","","","","2010-04-16 00:00:00","","3","Normal","True","pablo.davila","Headwaters Turtle Creek - DLWAR","","","","","XENCO","","","","","","","{546A42CE-7AA5-4789-882C-FED128BDA268}"
"142","20100407-PD-2","CBD-2","","","Bioassessment","Grab","Water","DAEB","120301050101","Headwaters Turtle Creek","311 S Riverfront Blvd(intersection w/ Reunion Blvd","2010-04-07 00:00:00","2010-04-07 10:51:00","pablo.davila","2010-04-07 00:00:00","","","","","","2010-04-16 00:00:00","","3","Normal","True","paul.white","Headwaters Turtle Creek - DALEB","","","","","XENCO","","","","","","","{0A3415E9-3F5A-44DA-9CBC-86276E2D819B}"
