"PRESERVATIVES_ID","PRESERVATIVES","TESTS","GROUPS","CONTAINER_TYPE","XENCO_TEST_ID","TTI_TEST_ID"
"1","Ice","2,4,5-T","8151A (Herbicides)","G","2,4,5-T","2,4,5-T"
"2","Ice","2,4,5-Tp","8151A (Herbicides)","G","2,4,5-Tp","2,4,5-TP (Silvex)"
"3","Ice","2,4-DB","8151A (Herbicides)","G","2,4-Db","2,4-D.B."
"4","Ice","2,4-Dichlorophenoxyacetic acid (2,4-D)","8151A (Herbicides)","G","2,4-D","2,4-D"
"5","Ice","2,4-Dichlorophenylacetic Acid","8151A (Herbicides)","G","2,4-Dichlorophenylacetic Acid","2,4-DCAA"
"6","Ice","4,4-DDD","8081A (Pesticides)","G","4,4-DDD","4,4'-DDD"
"7","Ice","4,4-DDE","8081A (Pesticides)","G","4,4-DDE","4,4'-DDE"
"8","Ice","4,4-DDT","8081A (Pesticides)","G","4,4-DDT","4,4'-DDT"
"9","Ice","Alachlor","8081A (Pesticides)","G","Alachlor","Alachlor"
"10","Ice","Aldrin","8081A (Pesticides)","G","Aldrin","Aldrin"
"11","Ice","Alpha(BHC)","8081A (Pesticides)","G","Alpha-BHC","alpha-BHC"
"12","Ice","Alpha(Chlordane)","8081A (Pesticides)","G","Alpha-Chlordane","alpha-Chlordane"
"13","Ice HNO3","Aluminum, Al","Metal","P","Aluminum","Aluminum"
"14","Ice H2SO4","Ammonia","NULL","P","Nitrogen, Ammonia (as N)","Ammonia as N"
"15","Ice HNO3","Arsenic, As","Metal","P","Arsenic","Arsenic"
"16","Ice","Atrazine","NULL","G","Atrazine","Atrazine"
"17","Ice HNO3","Barium, Ba","Metal","P","Barium","Barium"
"18","Ice","Beta(BHC)","8081A (Pesticides)","G","Beta-BHC","beta-BHC"
"19","Ice","BOD, Biological Oxygen Demand","NULL","P","Biochemical Oxygen Demand, 5 day","Biochemical Oxygen Demand"
"20","Ice HNO3","Cadmium, Cd","Metal","P","Cadmium","Cadmium"
"21","Ice HNO3","Calcium","NULL","P","Calcium","Calcium"
"22","Ice","Chlordane","8081A (Pesticides)","G","Chlordane","Chlordane (tech)"
"23","Ice","Chlorfenvinphos","NULL","G","Chlorfenvinphos","Chlorfenvinphos"
"24","Ice","Chlorobenzilate","8081A (Pesticides)","G","Chlorobenzilate","Chlorobenzilate"
"25","Ice","Chlorpyrifos","NULL","G","Chlorpyrifos","Chloropyrifos"
"26","Ice","Chlorpyrifos mathyl","NULL","G","Chlorpyrifos mathyl","Chlorpyrifos mathyl"
"27","Ice HNO3","Chromium, Cr","Metal","P","Chromium","Chromium"
