"SAMPLING_RESULTS_ID","SAMPLING_EVENTS_ID","CUSTODY_NUMBER","PARAMETER","METHOD","NUMBER_RESULT","REPORTED_RESULT","ALPHA_RESULT","FLAG","UNITS","MDL","RDL","ANALYSIS_DATE","ANALYZED_BY","RECORD_CREATED","PARAMETERS_ID","CONTRACT_LAB_ID","ROWID"
"1259","121","20100412-CN-1","Water Temp","In Situ_TROLL 9500 (Unit #4)","17.51000","17.51","","","C","","","2010-04-12 00:00:00","cathleen.nelson","2010-04-12 00:00:00","622","SWM","{ADC17EBD-334C-4470-8373-BF87DEBBDA3B}"
"1260","121","20100412-CN-1","DO","In Situ_TROLL 9500 (Unit #4)","8.24000","8.24","","","mg/L","","","2010-04-12 00:00:00","cathleen.nelson","2010-04-12 00:00:00","636","SWM","{15258524-62B3-4638-93FE-8376F1235C30}"
"1261","121","20100412-CN-1","pH","In Situ_TROLL 9500 (Unit #4)","7.83000","7.83","","","","","","2010-04-12 00:00:00","cathleen.nelson","2010-04-12 00:00:00","629","SWM","{02FDC086-6E00-411B-81B6-1A1A78BEBC36}"
"1262","121","20100412-CN-1","COND","In Situ_TROLL 9500 (Unit #4)","812.40000","812.4","","0","uS/cm","","","2010-04-12 00:00:00","cathleen.nelson","2010-04-12 00:00:00","634","SWM","{38D0A8F4-5385-4A24-86AE-6F5E95B5D727}"
"1263","121","20100412-CN-1","Cl2","Hach_ DR 890 (Unit #7)","","0 "limit"","0 "limit"","","mg/L","","","2010-04-12 00:00:00","cathleen.nelson","2010-04-12 00:00:00","633","SWM","{57491D9C-81B3-4637-B5CB-5181ADCF354E}"
"1264","121","20100412-CN-1","TSS","Hach_ DR 890 (Unit #7)","26.00000","26","","","mg/L","","","2010-04-12 00:00:00","cathleen.nelson","2010-04-12 00:00:00","632","SWM","{1496D2E2-25FD-40DB-98C2-40320DFCBFF6}"
"1265","121","20100412-CN-1","TURB","Hach_ DR 890 (Unit #7)","32.00000","32","","","NTU","","","2010-04-12 00:00:00","cathleen.nelson","2010-04-12 00:00:00","631","SWM","{A269B9CF-616A-4423-AEA5-F5B0EC93BF71}"
"1266","121","20100412-CN-1","E.Coli","Quantitray","836.00000","836","","","MPN/100mls","","","2010-04-12 00:00:00","cathleen.nelson","2010-04-12 00:00:00","630","SWM","{AC281F7D-D4C6-43BE-B3EA-1CAF0B67EC1F}"
"1267","121","20100412-CN-1","T.Coliform","Quantitray","7701.00000","7701","","","MPN/100mls","","","2010-04-12 00:00:00","cathleen.nelson","2010-04-12 00:00:00","635","SWM","{676BCC6A-4E6B-4813-B743-56D8440A8385}"
"1268","122","20100412-HC-1","Water Temp","In Situ_TROLL 9500 (Unit #4)","17.75000","17.75","","","C","","","2010-04-12 00:00:00","huajun.chen","2010-04-12 00:00:00","647","SWM","{A7F21C5C-9116-433F-A56D-FBA9EB068079}"
"1269","122","20100412-HC-1","DO","In Situ_TROLL 9500 (Unit #4)","9.22000","9.22","","","mg/L","","","2010-04-12 00:00:00","huajun.chen","2010-04-12 00:00:00","652","SWM","{71268ACB-A93B-4B12-AC1E-634D19D4EAD6}"
"1270","122","20100412-HC-1","pH","In Situ_TROLL 9500 (Unit #4)","7.82000","7.82","","","","","","2010-04-12 00:00:00","huajun.chen","2010-04-12 00:00:00","651","SWM","{84DC231D-7CEB-486B-BFBA-5BC5541C1C60}"
"1271","122","20100412-HC-1","COND","In Situ_TROLL 9500 (Unit #4)","716.60000","716.6","","","uS/cm","","","2010-04-12 00:00:00","huajun.chen","2010-04-12 00:00:00","645","SWM","{F8A67D56-1CF2-45ED-9C79-69D84FFDD2D5}"
"1272","122","20100412-HC-1","Cl2","Hach_ DR 890 (Unit #7)",".00000","0.00","","","mg/L","","","2010-04-12 00:00:00","huajun.chen","2010-04-12 00:00:00","650","SWM","{E5C203AF-40C0-49E3-A461-CA2398A35290}"
"1273","122","20100412-HC-1","TSS","Hach_ DR 890 (Unit #7)","26.00000","26","","","mg/L","","","2010-04-12 00:00:00","huajun.chen","2010-04-12 00:00:00","654","SWM","{DD342726-8191-44A1-947E-DB28D5684282}"
"1274","122","20100412-HC-1","TURB","Hach_ DR 890 (Unit #7)","31.00000","31","","","NTU","","","2010-04-12 00:00:00","huajun.chen","2010-04-12 00:00:00","649","SWM","{DB744E3B-9FDA-4A57-9317-B415ED84FB38}"
"1275","122","20100412-HC-1","E.Coli","Quantitray","355.00000","355","","","MPN/100mls","","","2010-04-12 00:00:00","huajun.chen","2010-04-12 00:00:00","648","SWM","{6A6807C4-F5E7-4310-8AAA-6CEE1D39A1D5}"
"1276","122","20100412-HC-1","T.Coliform","Quantitray","14136.00000","14136","","","MPN/100mls","","","2010-04-12 00:00:00","huajun.chen","2010-04-12 00:00:00","653","SWM","{1AE36426-205D-46FA-858B-58E67450B8F2}"
"1277","123","20100412-HC-2","Water Temp","In Situ_TROLL 9500 (Unit #4)","18.01000","18.01","","","C","","","2010-04-12 00:00:00","huajun.chen","2010-04-12 00:00:00","660","SWM","{76741FA2-CA56-43B3-8A47-063D4EA1DEDC}"
"1278","123","20100412-HC-2","DO","In Situ_TROLL 9500 (Unit #4)","10.91000","10.91","","","mg/L","","","2010-04-12 00:00:00","huajun.chen","2010-04-12 00:00:00","662","SWM","{46AEE6A3-91A8-4718-9A71-E41DBA05B4F5}"
"1279","123","20100412-HC-2","pH","In Situ_TROLL 9500 (Unit #4)","8.25000","8.25","","","","","","2010-04-12 00:00:00","huajun.chen","2010-04-12 00:00:00","659","SWM","{303C1D3F-E499-4544-B8DB-DCB1EEC5FC75}"
"1280","123","20100412-HC-2","COND","In Situ_TROLL 9500 (Unit #4)","749.52000","749.52","","","uS/cm","","","2010-04-12 00:00:00","huajun.chen","2010-04-12 00:00:00","658","SWM","{EF1D1196-A51B-43FF-9A32-3F2B4E62A553}"
"1281","123","20100412-HC-2","Cl2","Hach_ DR 890 (Unit #7)","","0 "limit"","0 "limit"","","mg/L","","","2010-04-12 00:00:00","huajun.chen","2010-04-12 00:00:00","657","SWM","{E2EB18BB-EC1A-404C-9E8B-9E3D4E6D16ED}"
"1282","123","20100412-HC-2","TSS","Hach_ DR 890 (Unit #7)","24.00000","24","","","mg/L","","","2010-04-12 00:00:00","huajun.chen","2010-04-12 00:00:00","656","SWM","{94EF2332-9D0E-4EA2-9A18-CB11B95A6631}"
"1283","123","20100412-HC-2","TURB","Hach_ DR 890 (Unit #7)","33.00000","33","","","NTU","","","2010-04-12 00:00:00","huajun.chen","2010-04-12 00:00:00","655","SWM","{A90F4FBF-D521-44FE-BEDA-2DB1042D945F}"
"1284","123","20100412-HC-2","E.Coli","Quantitray","1723.00000","1723","","","MPN/100mls","","","2010-04-12 00:00:00","huajun.chen","2010-04-12 00:00:00","665","SWM","{B0CFCF78-940A-4A7D-BA7D-DF376D77FF70}"
"1285","123","20100412-HC-2","T.Coliform","Quantitray","24810.00000","24810","","","MPN/100mls","","","2010-04-12 00:00:00","huajun.chen","2010-04-12 00:00:00","664","SWM","{8A9289D1-6F39-4C20-8286-9B5C2E42D3F6}"
"1286","126","20100413-CN-1","Water Temp","In Situ_TROLL 9500 (Unit #1)","17.42000","17.42","","","C","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","720","SWM","{8F1A390D-B405-481B-9B42-FED6163E5DD0}"
"1287","126","20100413-CN-1","DO","In Situ_TROLL 9500 (Unit #1)","7.77000","7.77","","","mg/L","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","719","SWM","{503C4303-F583-401B-A453-51B3D125A8D9}"
"1288","126","20100413-CN-1","pH","In Situ_TROLL 9500 (Unit #1)","7.86000","7.86","","","","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","718","SWM","{3E35253F-96C8-48C0-82A1-4B9A6404001E}"
"1289","126","20100413-CN-1","COND","In Situ_TROLL 9500 (Unit #1)","733.03000","733.03","","","uS/cm","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","721","SWM","{0D6594CC-E29C-4D8D-A46F-3E5918A0C700}"
"1290","126","20100413-CN-1","Cl2","Hach_ Program 11",".00000","0.00","","","mg/L","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","717","SWM","{55776E96-E2D1-4939-BA79-8DD232BED5E4}"
"1291","126","20100413-CN-1","TSS","Hach_DR 890 (Unit #5)","10.00000","10","","","mg/L","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","716","SWM","{3461939D-971B-49F2-9BC7-C0953876094F}"
"1292","126","20100413-CN-1","TURB","Hach_DR 890 (Unit #5)","31.00000","31","","","NTU","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","715","SWM","{ACC7F3D2-8979-446B-BF8C-FED88E34BF51}"
"1293","126","20100413-CN-1","E.Coli","Quantitray","259.00000","259","","","MPN/100mls","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","706","SWM","{79DAE8C7-936D-49C5-8896-FE59742AFE07}"
"1294","126","20100413-CN-1","T.Coliform","Quantitray","12997.00000","12997","","","MPN/100mls","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","714","SWM","{8CEE4DDB-82E6-4E74-804A-02142103A06B}"
"1295","127","20100413-CN-2","Water Temp","In Situ_TROLL 9500 (Unit #1)","18.69000","18.69","","","C","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","730","SWM","{AB01EDAD-FF2C-4BD7-A827-3FC7EB574DBA}"
"1296","127","20100413-CN-2","DO","In Situ_TROLL 9500 (Unit #1)","8.38000","8.38","","","mg/L","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","739","SWM","{2E183316-C5B7-492B-ADB1-AD13E83EB536}"
"1297","127","20100413-CN-2","pH","In Situ_TROLL 9500 (Unit #1)","7.74000","7.74","","","","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","728","SWM","{2E0795C7-03CE-43B1-A5FE-A6C5AEA2F091}"
"1298","127","20100413-CN-2","COND","In Situ_TROLL 9500 (Unit #1)","794.86000","794.86","","","uS/cm","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","737","SWM","{242A89AD-4028-4B3E-82FD-9DB1A5378C1D}"
"1299","127","20100413-CN-2","Cl2","Hach_DR 890 (Unit #5)",".00000","0","","","mg/L","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","727","SWM","{4B228BD0-9402-4E1E-842B-7A00515AEECE}"
"1300","127","20100413-CN-2","TSS","Hach_DR 890 (Unit #5)","15.00000","15","","","mg/L","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","726","SWM","{EB6248E4-2C7D-44C1-804E-26F168441219}"
"1301","127","20100413-CN-2","TURB","Hach_DR 890 (Unit #5)","29.00000","29","","","NTU","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","725","SWM","{1C71EDBB-C66C-43E3-82C4-F26A7F5911EE}"
"1302","127","20100413-CN-2","E.Coli","Quantitray","309.00000","309","","","MPN/100mls","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","724","SWM","{0026EE18-81A7-4B53-8019-DAAE1F9B3424}"
"1303","127","20100413-CN-2","T.Coliform","Quantitray","15531.00000","15531","","","MPN/100mls","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","736","SWM","{E34404AF-9781-4166-AFB6-F979717DD7F2}"
"1304","128","20100413-CN-3","Water Temp","In Situ_TROLL 9500 (Unit #1)","21.13000","21.13","","","C","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","755","SWM","{9299005B-DE4E-4207-AA64-BB1B37103C67}"
"1305","128","20100413-CN-3","DO","In Situ_TROLL 9500 (Unit #1)","8.97000","8.97","","","mg/L","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","754","SWM","{A9137173-17E5-4571-A706-BF4FB80325A1}"
"1306","128","20100413-CN-3","pH","In Situ_TROLL 9500 (Unit #1)","8.01000","8.01","","","","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","753","SWM","{3E27F54F-3A0E-40B9-AFBD-E0113E5A7FAC}"
"1307","128","20100413-CN-3","COND","In Situ_TROLL 9500 (Unit #1)","553.68000","553.68","","","uS/cm","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","752","SWM","{1526658F-466B-4A8D-9EF8-1AD38AA7477D}"
"1308","128","20100413-CN-3","Cl2","Hach_DR 890 (Unit #5)",".02000","0.02","","","mg/L","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","751","SWM","{8FAB2E9A-2455-4EF1-B780-85A1C1F67601}"
"1309","128","20100413-CN-3","TSS","Hach_DR 890 (Unit #5)","40.00000","40","","","mg/L","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","750","SWM","{AF9ABEAA-D8E8-488D-9A68-AAB83948CECA}"
"1310","128","20100413-CN-3","TURB","Hach_DR 890 (Unit #5)","56.00000","56","","","NTU","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","749","SWM","{C2009D7D-8FC9-45E3-9294-4246A81A2CAD}"
"1311","128","20100413-CN-3","E.Coli","Quantitray","20.00000","20","","","MPN/100mls","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","748","SWM","{0B9D9090-B26A-49E6-97A0-FBF0DE18B6C3}"
"1312","128","20100413-CN-3","T.Coliform","Quantitray","4884.00000","4884","","","MPN/100mls","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","740","SWM","{4756E5B9-698F-4ABE-A5A8-5FA240A1ED26}"
"1313","129","20100413-CN-4","Water Temp","In Situ_TROLL 9500 (Unit #1)","22.91000","22.91","","","C","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","773","SWM","{629267D3-2DA8-448D-BD7B-EF4964D8364F}"
"1314","129","20100413-CN-4","DO","In Situ_TROLL 9500 (Unit #1)","16.45000","16.45","","","mg/L","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","766","SWM","{2223D75E-50C0-4EB3-8598-7C8809387B58}"
"1315","129","20100413-CN-4","pH","In Situ_TROLL 9500 (Unit #1)","8.30000","8.3","","","","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","763","SWM","{36AFA89D-9B3E-4B01-9CEE-3710AA382DEA}"
"1316","129","20100413-CN-4","COND","In Situ_TROLL 9500 (Unit #1)","882.26000","882.26","","","uS/cm","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","767","SWM","{F2B9167A-427B-43C5-A97D-0E3B97FE1C31}"
"1317","129","20100413-CN-4","Cl2","Hach_DR 890 (Unit #5)",".00000","0","","","mg/L","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","768","SWM","{27305776-5212-4762-82F7-3B2A7E7A020D}"
"1318","129","20100413-CN-4","TSS","Hach_DR 890 (Unit #5)","15.00000","15","","","mg/L","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","769","SWM","{FEBEB765-64F6-4086-8F04-41603B676FF9}"
"1319","129","20100413-CN-4","TURB","Hach_DR 890 (Unit #5)","28.00000","28","","","NTU","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","770","SWM","{E414A437-AA13-4E62-BDFC-F7548B99B67D}"
"1320","129","20100413-CN-4","E.Coli","Quantitray","624.00000","624","","","MPN/100mls","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","771","SWM","{ECFA446E-6B84-4F30-83E1-56D9CD86310F}"
"1321","129","20100413-CN-4","T.Coliform","Quantitray","17329.00000","17329","","","MPN/100mls","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","772","SWM","{5065F7AC-694A-4980-BB57-313F09E35E89}"
"1322","130","20100413-CN-4_dup","Water Temp","In Situ_TROLL 9500 (Unit #1)","22.89000","22.89","","","C","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","780","SWM","{91D28A86-4900-4C8E-8CEE-5B44038D9C51}"
"1323","130","20100413-CN-4_dup","DO","In Situ_TROLL 9500 (Unit #1)","15.81000","15.81","","","mg/L","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","778","SWM","{F84B5E1E-CE14-4F56-B140-36755CEDB808}"
"1324","130","20100413-CN-4_dup","pH","In Situ_TROLL 9500 (Unit #1)","8.30000","8.3","","","","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","777","SWM","{1C5E03C0-2E1E-4004-99FA-50878F15FB5D}"
"1325","130","20100413-CN-4_dup","COND","In Situ_TROLL 9500 (Unit #1)","889.10000","889.1","","","uS/cm","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","776","SWM","{508122FC-EF11-4C9A-A4C9-7677EE8BB0B5}"
"1326","130","20100413-CN-4_dup","Cl2","Hach_DR 890 (Unit #5)",".00000","0","","","mg/L","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","779","SWM","{D2BE1E87-A7C3-4882-A902-382ADE4A6A26}"
"1327","130","20100413-CN-4_dup","TSS","Hach_DR 890 (Unit #5)","17.00000","17","","","mg/L","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","786","SWM","{778CCEB5-2078-4055-8082-6C7113E8577F}"
"1328","130","20100413-CN-4_dup","TURB","Hach_DR 890 (Unit #5)","30.00000","30","","","NTU","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","775","SWM","{942F5EC6-882E-4812-9560-1DEE4E78809F}"
"1329","130","20100413-CN-4_dup","E.Coli","Quantitray","816.00000","816","","","MPN/100mls","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","781","SWM","{8525A502-7628-4F0F-A604-8CD48B63CC6F}"
"1330","130","20100413-CN-4_dup","T.Coliform","Quantitray","19863.00000","19863","","","MPN/100mls","","","2010-04-13 00:00:00","cathleen.nelson","2010-04-13 00:00:00","789","SWM","{34954776-F51F-4EAF-9026-C2D96FE75BBA}"
"1341","143","20100407-PD-1_dup","Water Temp","In Situ_TROLL 9500 (Unit #4)","21.00000","21.0","","","C","","","2010-04-07 00:00:00","pablo.davila","2010-04-16 00:00:00","827","SWM","{7A69B49D-0FEA-4A42-AF09-96EB92CB6D18}"
"1342","143","20100407-PD-1_dup","DO","In Situ_TROLL 9500 (Unit #4)","9.47000","9.47","","","mg/L","","","2010-04-07 00:00:00","pablo.davila","2010-04-16 00:00:00","828","SWM","{6C649FD6-D055-4455-ABA2-353A6E39F336}"
"1343","143","20100407-PD-1_dup","pH","In Situ_TROLL 9500 (Unit #4)","8.22000","8.22","","","","","","2010-04-07 00:00:00","pablo.davila","2010-04-16 00:00:00","829","SWM","{DA7FB2E6-9927-4222-9291-60C872E2D272}"
"1344","143","20100407-PD-1_dup","COND","In Situ_TROLL 9500 (Unit #4)","678.61000","678.61","","","uS/cm","","","2010-04-07 00:00:00","pablo.davila","2010-04-16 00:00:00","830","SWM","{1A5B9B20-952B-434D-A230-F6C65ED0182E}"
"1345","143","20100407-PD-1_dup","Cl2","Hach_DR 890 (Unit #7)",".08000","0.08","","","mg/L","","","2010-04-07 00:00:00","pablo.davila","2010-04-16 00:00:00","831","SWM","{03BB6657-CE86-4AC1-8988-41A75D8C9F10}"
"1346","143","20100407-PD-1_dup","TSS","Hach_DR 890 (Unit #7)","36.00000","36","","","mg/L","","","2010-04-07 00:00:00","pablo.davila","2010-04-16 00:00:00","832","SWM","{ED162A17-52E0-45E3-8609-9238D6B972AF}"
"1347","143","20100407-PD-1_dup","TURB","Hach_DR 890 (Unit #7)","38.00000","38","","","NTU","","","2010-04-07 00:00:00","pablo.davila","2010-04-16 00:00:00","833","SWM","{668C1EE1-309A-436D-8962-A567C8CFB6DF}"
"1348","143","20100407-PD-1_dup","E.Coli","Quantitray","132.00000","132","","","MPN/100mls","","","2010-04-07 00:00:00","pablo.davila","2010-04-16 00:00:00","834","SWM","{4B7D737C-FCAB-4D85-91AF-3318C6370B23}"
"1349","143","20100407-PD-1_dup","T.Coliform","Quantitray","5475.00000","5475","","","MPN/100mls","","","2010-04-07 00:00:00","pablo.davila","2010-04-16 00:00:00","835","SWM","{1DCB59CB-3F67-4DB8-96F2-E11E41233BDA}"
"1350","144","20100405-PD-1","Water Temp","In Situ_TROLL 9500 (Unit #4)","19.53000","19.53","","","C","","","2010-04-05 00:00:00","pablo.davila","2010-04-16 00:00:00","844","SWM","{E44E3000-32C2-419A-A4A9-39C02B206450}"
"1351","144","20100405-PD-1","DO","In Situ_TROLL 9500 (Unit #4)","5.95000","5.95","","","mg/L","","","2010-04-05 00:00:00","pablo.davila","2010-04-16 00:00:00","845","SWM","{4E25A0A8-7805-410F-82E6-62082F5F5493}"
"1352","144","20100405-PD-1","pH","In Situ_TROLL 9500 (Unit #4)","7.78000","7.78","","","","","","2010-04-05 00:00:00","pablo.davila","2010-04-16 00:00:00","846","SWM","{D4A73074-B95E-464E-89B4-8E0B2B10A87B}"
"1353","144","20100405-PD-1","COND","In Situ_TROLL 9500 (Unit #4)","548.50000","548.50","","","uS/cm","","","2010-04-05 00:00:00","pablo.davila","2010-04-16 00:00:00","847","SWM","{620746C3-4351-4353-BABA-44E690C3E72A}"
"1354","144","20100405-PD-1","Cl2","Hach_DR 890 (Unit #10)",".00000","0.00","","","mg/L","","","2010-04-05 00:00:00","pablo.davila","2010-04-16 00:00:00","848","SWM","{D48F1D57-904B-480A-8186-0087F91214BC}"
"1355","144","20100405-PD-1","TSS","Hach_DR 890 (Unit #10)","43.00000","43","","","mg/L","","","2010-04-05 00:00:00","pablo.davila","2010-04-16 00:00:00","849","SWM","{C76851A1-BA43-4470-A9D6-24EDBEE7EE18}"
"1356","144","20100405-PD-1","TURB","Hach_DR 890 (Unit #10)","58.00000","58","","","NTU","","","2010-04-05 00:00:00","pablo.davila","2010-04-16 00:00:00","850","SWM","{87D50A75-8018-4167-B6BC-8725FBCB3195}"
"1357","144","20100405-PD-1","E.Coli","Quantitray","98.00000","98","","","MPN/100mls","","","2010-04-05 00:00:00","pablo.davila","2010-04-16 00:00:00","851","SWM","{3A9859EF-75C5-436A-BE8C-8BCF01441665}"
"1358","144","20100405-PD-1","T.Coliform","Quantitray","8164.00000","8164","","","MPN/100mls","","","2010-04-05 00:00:00","pablo.davila","2010-04-16 00:00:00","852","SWM","{3A402ADA-827C-4CC2-9E5A-00018544546D}"
"1359","145","20100406-PD-1","Water Temp","In Situ_TROLL 9500 (Unit #4)","20.43000","20.43","","","C","","","2010-04-06 00:00:00","pablo.davila","2010-04-16 00:00:00","861","SWM","{8117406B-65B6-4982-A0C9-C887113331DA}"
"1360","145","20100406-PD-1","DO","In Situ_TROLL 9500 (Unit #4)","8.27000","8.27","","","mg/L","","","2010-04-06 00:00:00","pablo.davila","2010-04-16 00:00:00","862","SWM","{8D8E142F-3F45-4B82-B0FA-FAB2AC443683}"
"1361","145","20100406-PD-1","pH","In Situ_TROLL 9500 (Unit #4)","7.78000","7.78","","","","","","2010-04-06 00:00:00","pablo.davila","2010-04-16 00:00:00","863","SWM","{B4B20D03-9BAD-4EFB-A872-98CC373EF0FF}"
"1362","145","20100406-PD-1","COND","In Situ_TROLL 9500 (Unit #4)","879.89000","879.89","","","uS/cm","","","2010-04-06 00:00:00","pablo.davila","2010-04-16 00:00:00","864","SWM","{263C8ADA-4759-44EA-9DCC-C4A4B40CF7F0}"
"1363","145","20100406-PD-1","Cl2","Hach_ DR 890 (Unit #10)",".06000","0.06","","","mg/L","","","2010-04-06 00:00:00","pablo.davila","2010-04-16 00:00:00","865","SWM","{B19B3192-FEB0-495C-9E1C-D7D9FBBA37A6}"
"1364","145","20100406-PD-1","TSS","Hach_ DR 890 (Unit #10)","27.00000","27","","","mg/L","","","2010-04-06 00:00:00","pablo.davila","2010-04-16 00:00:00","866","SWM","{97B2BE7D-97CD-40F8-9638-D8000233EC4D}"
"1365","145","20100406-PD-1","TURB","Hach_ DR 890 (Unit #10)","35.00000","35","","","NTU","","","2010-04-06 00:00:00","pablo.davila","2010-04-16 00:00:00","867","SWM","{70F591D3-0844-4403-894E-64D7524061D4}"
"1366","145","20100406-PD-1","E.Coli","Quantitray","160.00000","160","","","MPN/100mls","","","2010-04-06 00:00:00","pablo.davila","2010-04-16 00:00:00","868","SWM","{6693E864-C61F-4DE9-AC08-504BE858FA64}"
"1367","145","20100406-PD-1","T.Coliform","Quantitray","8664.00000","8664","","","MPN/100mls","","","2010-04-06 00:00:00","pablo.davila","2010-04-16 00:00:00","869","SWM","{DC88C522-344E-4F1A-AB9E-6BF764A57324}"
"1368","146","20100406-PD-2","Water Temp","In Situ_TROLL 9500 (Unit #4)","19.45000","19.45","","","C","","","2010-04-06 00:00:00","pablo.davila","2010-04-16 00:00:00","886","SWM","{49A2E493-238F-471D-8570-2D1705318312}"
